207360,2,-194112,-2,30528,0,-202340,-2,206768,0,-40895,0,-1918,0,-13116,0,10401,0,-3103,0,460,0,-34,0,1
241920,2,-254304,-2,-24216,-2,-47440,-2,126954,0,-45370,0,8945,0,-13068,0,8865,0,-2666,0,411,0,-32,0,1
241920,2,-254304,-2,-24216,0,-47440,-2,126954,0,-45370,0,8945,0,-13068,0,8865,0,-2666,0,411,0,-32,0,1
268800,2,-242240,0,32256,-2,-262052,-2,258908,0,-45081,0,-3100,0,-17182,0,12861,0,-3649,0,514,0,-36,0,1
268800,2,-309440,0,76014,0,-158376,-2,167100,0,-60494,0,40202,0,-37657,0,17569,0,-4236,0,552,0,-37,0,1
466560,2,-475632,0,-137916,-2,62136,-2,133323,0,-34785,0,-16090,0,-2643,0,7296,0,-2643,0,426,0,-33,0,1
540540,2,-516288,0,328171,-2,-841227,0,697319,0,-385743,0,310736,0,-182004,0,57620,0,-10050,0,973,0,-49,0,1
1244160,2,-1109376,-2,-497664,-2,92376,-2,361884,0,-46026,0,-45299,0,-13025,0,17345,0,-4988,0,653,0,-41,0,1
1008000,2,-1530000,0,391340,-2,131028,0,51753,0,-51883,0,-3928,0,1242,0,4006,0,-1878,0,348,0,-30,0,1
2432430,2,-1917891,-2,-1140174,-2,42996,-2,694839,0,-20156,0,-82174,0,-33030,0,29610,0,-7233,0,828,0,-46,0,1
