1437,0,-13392,0,48980,0,-97248,0,120884,0,-101764,0,60587,0,-26032,0,8083,0,-1780,0,265,0,-24,0,1
3022,0,-33450,0,138415,0,-292690,0,365519,0,-295550,0,163195,0,-63170,0,17221,0,-3250,0,405,0,-30,0,1
8575,0,-108168,0,485920,0,-1043292,0,1231669,0,-901656,0,439132,0,-147408,0,34438,0,-5520,0,580,0,-36,0,1
21839,0,-300412,0,1398452,0,-2937501,0,3269504,0,-2207618,0,976459,0,-293972,0,60920,0,-8575,0,784,0,-42,0,1
34883,0,-558240,0,3006676,0,-7001104,0,7745345,0,-4934528,0,2004688,0,-545600,0,101146,0,-12640,0,1020,0,-48,0,1
1623,0,-14976,0,54288,0,-106552,0,130679,0,-108424,0,63606,0,-26944,0,8260,0,-1800,0,266,0,-24,0,1
3362,0,-36980,0,151796,0,-317385,0,390301,0,-311030,0,169477,0,-64820,0,17491,0,-3275,0,406,0,-30,0,1
9238,0,-116184,0,519548,0,-1107408,0,1294234,0,-937206,0,451691,0,-150216,0,34825,0,-5550,0,581,0,-36,0,1
18562,0,-265160,0,1305951,0,-2910796,0,3317405,0,-2253132,0,994633,0,-297990,0,61431,0,-8610,0,785,0,-42,0,1
40387,0,-644064,0,3444988,0,-7917472,0,8559386,0,-5322680,0,2114941,0,-564896,0,103189,0,-12760,0,1023,0,-48,0,1
